'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for YOUNG AIRPORT New South Wales for January 2011,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 February 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
YOUNG AIRPORT,01/01/2011,7.7,0.0, ,36.8,14.8,88,22,2.01,33.70
YOUNG AIRPORT,02/01/2011,6.0,0.0, ,33.5,20.4,80,27,2.23,22.59
YOUNG AIRPORT,03/01/2011,6.5,0.0, ,29.9,16.2,85,34,3.94,25.91
YOUNG AIRPORT,04/01/2011,7.5,0.0, ,28.7,15.3,77,29,3.86,33.67
YOUNG AIRPORT,05/01/2011,7.5,0.0, ,30.1,15.0,84,20,3.37,32.37
YOUNG AIRPORT,06/01/2011,7.3,0.0, ,28.7,15.7,75,37,3.95,33.63
YOUNG AIRPORT,07/01/2011,6.2,0.0, ,29.1,13.1,83,39,3.05,28.25
YOUNG AIRPORT,08/01/2011,6.5,0.0, ,30.6,16.0,87,32,2.40,29.87
YOUNG AIRPORT,09/01/2011,6.0,0.0, ,31.4,16.4,89,47,5.11,21.06
YOUNG AIRPORT,10/01/2011,6.8,11.2, ,30.1,19.4,80,44,5.35,25.50
YOUNG AIRPORT,11/01/2011,5.1,5.6, ,28.6,19.0,88,55,4.50,20.06
YOUNG AIRPORT,12/01/2011,6.1,0.4, ,31.1,20.0,78,48,3.84,23.76
YOUNG AIRPORT,13/01/2011,6.5,0.8, ,31.4,22.0,79,49,4.48,24.31
YOUNG AIRPORT,14/01/2011,4.4,0.0, ,26.8,20.2,89,51,4.39,15.07
YOUNG AIRPORT,15/01/2011,5.6,1.4, ,31.1,21.0,90,44,1.66,25.72
YOUNG AIRPORT,16/01/2011,7.2,0.0, ,33.5,19.2,89,28,2.09,32.77
YOUNG AIRPORT,17/01/2011,7.5,0.0, ,30.1,16.0,89,21,3.04,33.99
YOUNG AIRPORT,18/01/2011,6.3,0.0, ,27.9,8.2,92,27,1.86,34.33
YOUNG AIRPORT,19/01/2011,7.2,0.0, ,30.2,12.7,89,24,2.72,33.89
YOUNG AIRPORT,20/01/2011,7.8,0.0, ,32.2,17.0,84,22,3.25,33.17
YOUNG AIRPORT,21/01/2011,6.4,0.0, ,32.9,14.3,87,28,1.91,29.37
YOUNG AIRPORT,22/01/2011, ,0.0, , ,15.5,86,23,2.69,27.61
YOUNG AIRPORT,26/01/2011, , , , , , , , ,25.85
YOUNG AIRPORT,27/01/2011, , , ,33.5, , , , ,32.64
YOUNG AIRPORT,28/01/2011,7.7,0.0, ,32.2,9.6,88,19,3.15,33.27
YOUNG AIRPORT,29/01/2011,7.2,0.0, ,31.6,14.9,82,22,2.45,32.91
YOUNG AIRPORT,30/01/2011,6.9,0.0, ,34.3,11.8,88,22,1.95,32.09
YOUNG AIRPORT,31/01/2011,7.3,0.0, ,37.7,14.8,85,17,1.80,31.82
Totals:,,167.2,19.4, ,,,,,, 
