'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAMPBELLTOWN (MOUNT ANNAN) New South Wales for February 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAMPBELLTOWN (MOUNT ANNAN),01/02/2009,6.3,0.0, ,31.0,18.3,95,50,2.88,30.48
CAMPBELLTOWN (MOUNT ANNAN),02/02/2009,7.0,0.0, ,34.0,20.1,95,39,3.05,29.68
CAMPBELLTOWN (MOUNT ANNAN),03/02/2009,6.1,0.0, ,32.2,18.8,89,42,2.42,27.50
CAMPBELLTOWN (MOUNT ANNAN),04/02/2009,5.1,0.0, ,32.0,19.3,94,48,1.93,22.55
CAMPBELLTOWN (MOUNT ANNAN),05/02/2009,7.1,0.0, ,38.5,18.7,97,31,2.06,29.18
CAMPBELLTOWN (MOUNT ANNAN),06/02/2009,7.6,0.0, ,38.3,19.4,90,26,2.41,30.63
CAMPBELLTOWN (MOUNT ANNAN),07/02/2009,9.0,0.0, ,41.8,19.4,83,15,3.00,30.80
CAMPBELLTOWN (MOUNT ANNAN),08/02/2009,8.1,0.0, ,39.2,17.8,83,25,2.73,30.82
CAMPBELLTOWN (MOUNT ANNAN),09/02/2009,2.8,0.0, ,23.7,20.4,84,67,3.31,9.72
CAMPBELLTOWN (MOUNT ANNAN),10/02/2009, , , ,20.1, , , , ,7.24
CAMPBELLTOWN (MOUNT ANNAN),11/02/2009, , , ,22.4, , , , ,11.49
CAMPBELLTOWN (MOUNT ANNAN),12/02/2009, , , ,20.9, , , , ,14.45
CAMPBELLTOWN (MOUNT ANNAN),13/02/2009, , , ,23.6, , , , ,15.08
CAMPBELLTOWN (MOUNT ANNAN),14/02/2009, , , ,18.6, , , , ,7.14
CAMPBELLTOWN (MOUNT ANNAN),15/02/2009, , , ,23.1, , , , ,15.89
CAMPBELLTOWN (MOUNT ANNAN),16/02/2009, , , ,24.0, , , , ,18.56
CAMPBELLTOWN (MOUNT ANNAN),17/02/2009, ,4.8, ,22.0,15.8,95,63,2.46, 
CAMPBELLTOWN (MOUNT ANNAN),18/02/2009, , , ,27.8, , , , , 
CAMPBELLTOWN (MOUNT ANNAN),19/02/2009,5.1,0.6, ,31.3,16.2,95,50,1.98,24.74
CAMPBELLTOWN (MOUNT ANNAN),20/02/2009,5.3,0.0, ,31.7,16.5,93,46,1.77,25.62
CAMPBELLTOWN (MOUNT ANNAN),21/02/2009,3.4,0.2, ,27.1,19.6,91,66,2.28,15.38
CAMPBELLTOWN (MOUNT ANNAN),22/02/2009,4.1, , ,26.1,18.1,84,59,2.10,20.36
CAMPBELLTOWN (MOUNT ANNAN),23/02/2009,4.7, , ,30.8,16.8,91,52,2.53,20.98
CAMPBELLTOWN (MOUNT ANNAN),24/02/2009,5.5, , ,31.0,15.7,96,52,2.17,28.10
CAMPBELLTOWN (MOUNT ANNAN),25/02/2009,4.8,0.0, ,28.6,19.1,90,56,2.25,24.04
CAMPBELLTOWN (MOUNT ANNAN),26/02/2009,4.3,0.0, ,26.0,15.8,87,51,2.11,22.22
CAMPBELLTOWN (MOUNT ANNAN),27/02/2009,4.7,0.0, ,26.2,13.4,90,51,2.07,26.48
CAMPBELLTOWN (MOUNT ANNAN),28/02/2009,5.1,0.0, ,31.5,12.3,93,42,1.85,25.03
Totals:,,106.1,5.6, ,,,,,, 
