'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NORAH HEAD New South Wales for December 2013,,,,,,,,,,
Issued at 22:31 GMT on Friday 27 December 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NORAH HEAD,01/12/2013,5.1,0.4, ,22.5,15.5,88,61,3.23,29.84
NORAH HEAD,02/12/2013,6.4,0.2, ,24.1,15.7,82,51,4.27,35.02
NORAH HEAD,03/12/2013,6.8,0.0, ,25.0,15.9,83,57,6.66,37.48
NORAH HEAD,04/12/2013,4.8,0.0, ,24.4,17.3,86,76,7.67,28.58
NORAH HEAD,05/12/2013,6.1,6.2, ,27.0,19.3,92,28,4.23,23.92
NORAH HEAD,06/12/2013,6.5,0.0, ,21.2,12.3,69,35,3.69,36.67
NORAH HEAD,07/12/2013,5.9,0.0, ,23.3,14.8,82,56,3.82,33.86
NORAH HEAD,08/12/2013,7.0,0.0, ,26.4,18.5,83,59,5.65,36.59
NORAH HEAD,09/12/2013,5.4,0.0, ,28.6,18.6,87,68,4.85,26.65
NORAH HEAD,10/12/2013,7.6,0.0, ,32.3,21.6,91,34,4.06,31.05
NORAH HEAD,11/12/2013,6.2,0.0, ,25.0,19.8,91,53,3.69,33.02
NORAH HEAD,12/12/2013,5.3,0.0, ,24.9,18.2,91,66,5.77,28.79
NORAH HEAD,13/12/2013,6.5,0.0, ,27.7,18.6,92,65,5.57,35.05
NORAH HEAD,14/12/2013,4.1,0.0, ,23.3,20.0,95,74,6.54,22.66
NORAH HEAD,15/12/2013,5.6,0.0, ,26.3,18.9,85,59,3.29,28.50
NORAH HEAD,16/12/2013,6.4,0.0, ,26.5,19.5,82,61,5.85,32.07
NORAH HEAD,17/12/2013,7.0,0.0, ,27.3,19.0,80,57,5.80,34.42
NORAH HEAD,18/12/2013,7.2,0.0, ,26.8,19.9,81,58,5.19,36.52
NORAH HEAD,19/12/2013,6.7,0.0, ,25.1,19.6,84,66,8.79,37.19
NORAH HEAD,20/12/2013,6.2,0.0, ,24.8,19.4,86,74,6.28,36.98
NORAH HEAD,21/12/2013,5.3,0.0, ,23.4,20.9,91,75,6.75,32.23
NORAH HEAD,22/12/2013,5.5,0.0, ,26.5,21.1,94,75,6.77,31.83
NORAH HEAD,23/12/2013,7.8,0.0, ,34.7,21.2,92,29,7.02,16.65
NORAH HEAD,24/12/2013,2.5,6.4, ,21.1,18.5,92,75,6.54,9.38
NORAH HEAD,25/12/2013,1.8,0.2, ,21.3,18.7,95,80,5.89,5.64
NORAH HEAD,26/12/2013, ,15.8, , ,19.2, , , ,33.54
Totals:,,145.7,29.2, ,,,,,, 
