'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PATERSON (TOCAL) New South Wales for September 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PATERSON (TOCAL),01/09/2009, ,0.0,5.4, ,7.1,73,23,1.93,19.83
PATERSON (TOCAL),02/09/2009, ,0.0,2.8,22.3, ,99,41,1.92,19.92
PATERSON (TOCAL),03/09/2009,2.5,0.0,4.0,24.2,7.5,99,44,1.46,13.97
PATERSON (TOCAL),04/09/2009,3.0,8.0,1.8,24.1,13.1,99,45,2.57,14.65
PATERSON (TOCAL),05/09/2009,3.3,1.8,2.0,21.3,11.0,96,34,2.61,18.26
PATERSON (TOCAL),06/09/2009,3.3,0.0,1.2,22.4,5.2,97,36,2.19,20.57
PATERSON (TOCAL),07/09/2009, ,0.0,6.4, ,9.4, , , ,7.56
PATERSON (TOCAL),08/09/2009, ,0.2,5.3, , , , , ,15.68
PATERSON (TOCAL),09/09/2009, ,0.0,4.0,21.6, ,66,29,4.92,20.33
PATERSON (TOCAL),10/09/2009,4.4,0.0,3.0,22.6,7.3,79,20,3.28,21.47
PATERSON (TOCAL),11/09/2009, ,0.0,8.0, ,5.8,82,15,1.71,22.12
PATERSON (TOCAL),12/09/2009, ,0.0,4.0,30.2, ,93,15,1.77,22.30
PATERSON (TOCAL),13/09/2009,5.6,0.0,4.0,31.4,3.7,93,14,2.76,22.43
PATERSON (TOCAL),14/09/2009,4.5,0.0,5.2,27.7,8.8,84,17,2.22,20.80
PATERSON (TOCAL),15/09/2009,3.6,0.0,6.6,25.8,15.3,98,47,1.75,20.18
PATERSON (TOCAL),16/09/2009,2.4,0.0,4.0,23.9,12.6,100,63,1.24,13.52
PATERSON (TOCAL),17/09/2009, ,0.1,0.9, ,12.0,100,20,2.26,21.01
PATERSON (TOCAL),18/09/2009, ,0.0,4.0,25.9, ,83,32,3.69,20.62
PATERSON (TOCAL),19/09/2009,3.7,0.0,3.6,26.0,10.0,99,40,1.43,22.75
PATERSON (TOCAL),20/09/2009,4.2,0.0,3.8,28.6,9.1,100,23,1.67,21.81
PATERSON (TOCAL),21/09/2009,2.4,1.2,5.4,21.8,11.6,100,65,1.74,13.55
PATERSON (TOCAL),22/09/2009, ,0.5,2.9, ,12.0,100,32,3.86,17.11
PATERSON (TOCAL),23/09/2009, ,3.0,7.6, , ,90,22,9.38,17.79
PATERSON (TOCAL),24/09/2009, ,0.0,8.0, , , , , ,24.32
PATERSON (TOCAL),25/09/2009, ,0.0,7.6,27.2, , , , ,24.73
PATERSON (TOCAL),26/09/2009,7.3,0.0,11.6,22.6,12.6,50,10,7.40,22.29
PATERSON (TOCAL),27/09/2009,6.5,0.0,12.0,18.7,10.1,52,14,8.20,24.31
PATERSON (TOCAL),28/09/2009,6.1,0.0,5.4,22.6,10.7,48,25,5.47,23.91
PATERSON (TOCAL),29/09/2009,4.8,0.0,6.8,24.6,7.6,89,15,2.47,25.01
PATERSON (TOCAL),30/09/2009,4.9,0.0,4.0,28.5,5.9,99,10,1.76,25.84
Totals:,,72.5,14.8,151.3,,,,,, 
