'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BOURKE AIRPORT New South Wales for January 2010,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BOURKE AIRPORT,01/01/2010,2.2,22.8, ,24.2,20.7,97,90,3.89,10.78
BOURKE AIRPORT,02/01/2010,6.3,7.6, ,34.6,21.6,97,43,2.17,26.66
BOURKE AIRPORT,03/01/2010, ,0.4, , ,20.3,94,26,3.88,33.87
BOURKE AIRPORT,04/01/2010, , , , , , , , ,33.21
BOURKE AIRPORT,05/01/2010,7.3, , ,33.3,25.0,95,45,5.13,27.65
BOURKE AIRPORT,06/01/2010,6.3,5.0, ,33.0,20.9,96,36,2.68,25.49
BOURKE AIRPORT,07/01/2010,7.7,0.0, ,35.1,23.4,89,31,3.12,30.28
BOURKE AIRPORT,08/01/2010,8.2,0.0, ,33.8,22.8,88,37,4.53,32.08
BOURKE AIRPORT,09/01/2010,8.8,0.0, ,35.2,23.5,77,29,3.84,33.31
BOURKE AIRPORT,10/01/2010, ,0.0, ,37.9,21.5, , , ,33.38
BOURKE AIRPORT,11/01/2010, ,0.0, , ,23.7, , , ,33.07
BOURKE AIRPORT,12/01/2010, , , ,40.2, , , , ,33.61
BOURKE AIRPORT,13/01/2010, ,0.0, , ,22.1, , , ,31.59
BOURKE AIRPORT,14/01/2010, , , ,37.8, , , , ,31.79
BOURKE AIRPORT,15/01/2010,8.6,0.0, ,38.3,24.6,66,24,3.73,26.84
BOURKE AIRPORT,16/01/2010,8.9,0.0, ,38.0,22.8,73,21,3.77,29.36
BOURKE AIRPORT,17/01/2010,10.3,0.0, ,34.2,23.4,72,9,5.36,33.38
BOURKE AIRPORT,18/01/2010,9.4,0.0, ,28.8,17.3,44,11,5.15,34.37
BOURKE AIRPORT,19/01/2010,9.0,0.0, ,31.9,11.7,46,10,3.94,34.27
BOURKE AIRPORT,20/01/2010,8.6,0.0, ,35.1,12.9,41,8,2.68,34.49
BOURKE AIRPORT,21/01/2010,9.4,0.0, ,39.1,16.7,50,9,2.95,33.71
BOURKE AIRPORT,22/01/2010,10.9,0.0, ,41.4,18.9,49,10,4.07,32.94
BOURKE AIRPORT,23/01/2010, ,0.0, , ,22.6,48,8,3.77,32.77
BOURKE AIRPORT,24/01/2010, , , ,42.4, ,30,11,3.56,32.76
BOURKE AIRPORT,25/01/2010,11.0,0.0, ,43.2,24.6,32,11,3.88,31.92
BOURKE AIRPORT,26/01/2010,10.4,0.0, ,42.6,22.6,51,15,3.91,30.41
BOURKE AIRPORT,27/01/2010,10.7,0.0, ,42.5,26.1,56,12,4.14,30.60
BOURKE AIRPORT,28/01/2010,10.0,0.0, ,40.3,23.7,63,15,4.54,26.88
BOURKE AIRPORT,29/01/2010,8.4,0.0, ,36.7,25.5,86,25,4.42,27.05
BOURKE AIRPORT,30/01/2010,9.6,4.4, ,36.8,21.7,77,24,5.57,29.50
BOURKE AIRPORT,31/01/2010,8.2,0.0, ,33.9,26.3,73,29,5.83,22.27
Totals:,,190.2,40.2, ,,,,,, 
