'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT GININI New South Wales for August 2010,,,,,,,,,,
Issued at 04:30 GMT on Wednesday 01 September 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT GININI,01/08/2010, , , ,0.1, ,98,93,3.42,4.36
MOUNT GININI,02/08/2010,0.7,28.6, ,0.1,-4.4,97,91,0.00,10.36
MOUNT GININI,03/08/2010,0.9,4.8, ,3.2,-3.7,97,63,0.00,13.69
MOUNT GININI,04/08/2010, ,0.0, ,-0.8,-3.8, , , ,12.71
MOUNT GININI,05/08/2010, ,0.0, ,-2.0,-5.2, , , ,8.72
MOUNT GININI,06/08/2010,0.8,0.8, ,2.2,-5.4,85,30,0.00,14.65
MOUNT GININI,07/08/2010, , , ,3.6, ,92,45,0.00,14.49
MOUNT GININI,08/08/2010,0.9,0.0, ,4.5,-4.0,91,11,0.00,15.03
MOUNT GININI,09/08/2010, ,0.0, , ,-2.7, , , ,14.94
MOUNT GININI,10/08/2010, , , ,4.3, , , , ,3.30
MOUNT GININI,11/08/2010,0.6,32.2, ,-1.3,-2.2,98,97,0.00,5.21
MOUNT GININI,12/08/2010,0.8,19.4, ,-0.4,-3.5,97,95,0.00,9.62
MOUNT GININI,13/08/2010, , , ,6.6, , , , ,15.23
MOUNT GININI,14/08/2010,1.0,0.0, ,2.7,-0.5,98,38,0.00,14.26
MOUNT GININI,15/08/2010,0.7,5.8, ,1.7,-0.5,98,98,0.00,5.30
MOUNT GININI,16/08/2010,0.6,12.2, ,-0.9,-2.8,98,92,4.65,10.72
MOUNT GININI,17/08/2010,1.5,4.6, ,3.8,-6.1,97,49,4.92,16.66
MOUNT GININI,18/08/2010,1.7,0.0, ,3.5,-3.4,98,39,8.50,8.20
MOUNT GININI,19/08/2010, ,28.4, , ,-0.7,98,98,9.90,7.74
MOUNT GININI,20/08/2010, , , ,-2.1, ,98,72,9.06,15.72
MOUNT GININI,21/08/2010,0.6,1.8, ,-1.5,-4.6,97,94,6.98,12.12
MOUNT GININI,22/08/2010,1.3,0.2, ,3.6,-4.1,96,66,4.41,15.38
MOUNT GININI,23/08/2010, ,0.0, ,4.0,-2.5, , , ,10.63
MOUNT GININI,24/08/2010,0.6,1.4, ,-0.6,-1.6,97,91,6.31,9.29
MOUNT GININI,25/08/2010,0.7,8.6, ,-3.1,-7.1,95,84,6.00,13.11
MOUNT GININI,26/08/2010,0.7,20.4, ,-1.3,-5.8,95,91,3.11,8.92
MOUNT GININI,27/08/2010, ,20.6, , ,-4.0,96,91,0.00,10.47
MOUNT GININI,28/08/2010, , , ,4.9, , , , ,17.53
MOUNT GININI,29/08/2010, , , ,5.2,-2.7, , , ,17.42
MOUNT GININI,30/08/2010, ,0.0, , ,-3.8, , , , 
MOUNT GININI,31/08/2010, , , ,6.0, ,98,22,6.04, 
Totals:,,14.1,189.8, ,,,,,, 
