'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for INVERELL RESEARCH CENTRE New South Wales for June 2010,,,,,,,,,,
Issued at 04:44 GMT on Monday 26 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
INVERELL RESEARCH CENTRE,01/06/2010,1.7,0.2,1.2,19.6,8.2,100,54,1.34,14.67
INVERELL RESEARCH CENTRE,02/06/2010,1.2,0.8,1.4,15.8,9.6,100,76,1.76,10.51
INVERELL RESEARCH CENTRE,03/06/2010,1.2,31.2,4.0,13.7,10.6,96,76,3.05,8.67
INVERELL RESEARCH CENTRE,04/06/2010,1.5,2.2,1.2,16.8,7.9,100,66,2.56,11.55
INVERELL RESEARCH CENTRE,05/06/2010,2.1,0.4,0.2,17.9,9.6,99,47,2.66,15.03
INVERELL RESEARCH CENTRE,06/06/2010, ,0.0,2.0,14.3, ,93,47,1.93,14.91
INVERELL RESEARCH CENTRE,07/06/2010,2.6,0.0,2.6,17.4,2.3,92,26,3.18,15.10
INVERELL RESEARCH CENTRE,08/06/2010,1.7,0.0,2.4,17.7,5.6,94,42,1.61,13.47
INVERELL RESEARCH CENTRE,09/06/2010,1.9,0.0,1.6,15.6,3.9,100,37,2.51,14.61
INVERELL RESEARCH CENTRE,10/06/2010,1.7,0.0,1.2,12.8,1.0,93,34,2.09,14.91
INVERELL RESEARCH CENTRE,11/06/2010,1.5,0.0,3.0,12.5,0.1,98,44,2.06,12.67
INVERELL RESEARCH CENTRE,12/06/2010,1.9,0.0,0.4,13.8,-0.9,100,39,2.85,15.09
INVERELL RESEARCH CENTRE,13/06/2010,2.4,0.0,1.8,17.6,4.1,79,24,2.45,14.86
INVERELL RESEARCH CENTRE,14/06/2010,2.4,0.0,1.6,18.8,6.1,87,44,3.34,14.57
INVERELL RESEARCH CENTRE,15/06/2010,2.5,0.0,3.0,17.7,6.1,87,30,3.22,14.67
INVERELL RESEARCH CENTRE,16/06/2010,2.3,0.0,2.6,18.1,4.5,91,29,2.48,14.80
INVERELL RESEARCH CENTRE,17/06/2010,1.1,0.0,2.0,15.4,4.5,100,66,1.56,7.95
INVERELL RESEARCH CENTRE,18/06/2010,1.6,5.2,1.2,15.7,8.1,100,45,1.94,13.59
INVERELL RESEARCH CENTRE,19/06/2010,1.9,0.0,1.0,14.3,3.8,94,44,2.97,14.82
INVERELL RESEARCH CENTRE,20/06/2010, ,0.0,1.4, ,1.7, , , ,14.60
INVERELL RESEARCH CENTRE,21/06/2010, ,0.0,3.2,18.5, , , , ,14.49
INVERELL RESEARCH CENTRE,22/06/2010,2.2,0.0,2.8,18.6,6.4,87,44,3.17,13.91
INVERELL RESEARCH CENTRE,23/06/2010,2.4,0.0,0.8,19.0,7.2,85,43,3.27,14.34
INVERELL RESEARCH CENTRE,24/06/2010,1.7,0.0,1.8,16.4,8.4,82,55,2.33,12.30
INVERELL RESEARCH CENTRE,25/06/2010, ,0.0,2.0, , , , , ,13.98
INVERELL RESEARCH CENTRE,26/06/2010, ,0.0,1.6,12.7, ,100,78,1.56,7.58
INVERELL RESEARCH CENTRE,27/06/2010,2.0,13.6,1.5,14.8,10.1,100,23,2.27,14.60
INVERELL RESEARCH CENTRE,28/06/2010, ,0.0,2.8, , , , , ,15.02
INVERELL RESEARCH CENTRE,29/06/2010, ,0.0,1.4,13.7, ,100,28,1.88,15.10
INVERELL RESEARCH CENTRE,30/06/2010,1.7,0.0,3.2,13.0,-2.6,100,33,2.05,14.79
Totals:,,43.2,53.6,56.9,,,,,, 
