'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ULLADULLA New South Wales for February 2010,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ULLADULLA,01/02/2010, ,1.2, ,26.1,18.8,94,76,2.66, 
ULLADULLA,02/02/2010, ,0.0, ,26.0,19.9,92,55,3.50, 
ULLADULLA,03/02/2010, ,2.6, ,26.0,20.8,96,76,4.09, 
ULLADULLA,04/02/2010, ,7.0, ,25.0,21.5,97,87,5.05, 
ULLADULLA,05/02/2010, ,59.4, ,25.3,21.2,97,86,5.37, 
ULLADULLA,06/02/2010, ,18.2, ,22.3,18.9,96,82,9.69, 
ULLADULLA,07/02/2010, ,0.0, ,21.9,19.5,97,81,5.04, 
ULLADULLA,08/02/2010, ,4.8, ,24.0,19.4,97,84,3.30, 
ULLADULLA,09/02/2010, ,1.2, ,25.7,19.3,97,81,3.10, 
ULLADULLA,10/02/2010, ,0.0, ,26.5,20.0,95,72,3.07, 
ULLADULLA,11/02/2010, ,0.0, ,26.1,20.8,95,76,2.82, 
ULLADULLA,12/02/2010, ,0.0, ,27.4,21.5,97,70,4.78, 
ULLADULLA,13/02/2010, ,28.2, ,21.2,18.4,97,94,2.73, 
ULLADULLA,14/02/2010, ,42.2, ,21.5,19.1,98,91,3.45, 
ULLADULLA,15/02/2010, ,38.4, ,26.9,19.1,97,56,7.57, 
ULLADULLA,16/02/2010, ,12.2, ,22.6,17.6,86,66,10.34, 
ULLADULLA,17/02/2010, ,0.0, ,22.9,15.7,79,57,4.35, 
ULLADULLA,18/02/2010, ,0.0, ,24.0,17.1,83,63,4.01, 
ULLADULLA,19/02/2010, ,0.6, ,23.5,17.2,92,63,3.94, 
ULLADULLA,20/02/2010, ,0.0, ,25.0,18.7,85,69,4.98, 
ULLADULLA,21/02/2010, ,0.0, ,34.7,21.3,87,32,3.92, 
ULLADULLA,22/02/2010, ,0.0, ,35.2,21.7,85,30,2.86, 
ULLADULLA,23/02/2010, ,0.0, ,23.5,18.5,87,53,6.13, 
ULLADULLA,24/02/2010, ,0.0, , ,15.1, , , , 
ULLADULLA,25/02/2010, , , ,23.6,16.5, , , , 
ULLADULLA,26/02/2010, ,0.0, ,23.8,15.0,83,59,3.46, 
ULLADULLA,27/02/2010, ,0.0, ,26.1,19.7,91,66,3.47, 
ULLADULLA,28/02/2010, ,1.4, ,24.2,18.9,97,76,4.41, 
Totals:,, ,217.4, ,,,,,, 
