'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for YAMBA PILOT STATION New South Wales for June 2010,,,,,,,,,,
Issued at 04:44 GMT on Monday 26 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
YAMBA PILOT STATION,01/06/2010,2.4,0.0, ,21.2,14.7,89,61,4.17,12.54
YAMBA PILOT STATION,02/06/2010,1.5,32.6, ,19.0,15.1,100,82,6.53,10.50
YAMBA PILOT STATION,03/06/2010,1.1,63.2, ,17.0,15.0,100,88,5.33,7.89
YAMBA PILOT STATION,04/06/2010,1.9,9.0, ,21.8,11.3,99,63,2.55,13.33
YAMBA PILOT STATION,05/06/2010,2.6,2.4, ,22.6,13.9,100,49,3.83,14.41
YAMBA PILOT STATION,06/06/2010,2.7,0.0, ,20.1,11.2,85,38,3.08,15.11
YAMBA PILOT STATION,07/06/2010, ,0.0, ,19.7, ,77,56,4.17,14.81
YAMBA PILOT STATION,08/06/2010,2.0,0.0, ,19.4,10.7,88,61,2.79,14.80
YAMBA PILOT STATION,09/06/2010, ,0.0, ,23.0,9.9, , , ,14.49
YAMBA PILOT STATION,10/06/2010, ,0.0, ,18.0, , , , ,14.58
YAMBA PILOT STATION,11/06/2010,2.1,0.0, ,18.7,9.0,83,53,3.12,11.30
YAMBA PILOT STATION,12/06/2010,2.5,0.0, ,17.9,7.7,76,49,3.76,14.91
YAMBA PILOT STATION,13/06/2010,1.7,0.0, ,17.2,7.6,97,62,3.86,10.65
YAMBA PILOT STATION,14/06/2010,1.6,5.8, ,19.0,11.3,100,72,3.88,12.30
YAMBA PILOT STATION,15/06/2010,1.5,4.8, ,18.6,11.4,99,75,3.67,11.37
YAMBA PILOT STATION,16/06/2010, ,17.0, , ,10.7, , , ,14.11
YAMBA PILOT STATION,17/06/2010, ,0.0, , , , , , ,9.94
YAMBA PILOT STATION,18/06/2010, ,0.0, ,21.4, , , , ,14.05
YAMBA PILOT STATION,19/06/2010,2.2,0.0, ,20.0,10.6,88,52,2.72,14.62
YAMBA PILOT STATION,20/06/2010,2.1,0.0, ,19.5,8.7,97,53,2.99,14.53
YAMBA PILOT STATION,21/06/2010,2.1,0.0, ,19.7,9.4,98,57,3.79,13.46
YAMBA PILOT STATION,22/06/2010,2.2,0.4, ,20.1,13.4,96,60,5.36,11.13
YAMBA PILOT STATION,23/06/2010,2.2,8.8, ,18.4,14.3,96,61,6.85,9.67
YAMBA PILOT STATION,24/06/2010, ,12.6, , ,12.6,99,55,3.20,12.64
YAMBA PILOT STATION,25/06/2010, ,0.0, ,21.1, ,100,64,2.65,13.58
YAMBA PILOT STATION,26/06/2010,2.0,0.2, ,23.0,11.3,100,63,3.16,12.69
YAMBA PILOT STATION,27/06/2010,1.6,0.0, ,19.5,12.3,99,73,3.34,12.48
YAMBA PILOT STATION,28/06/2010,1.9,0.0, ,18.2,9.2,94,59,2.95,14.13
YAMBA PILOT STATION,29/06/2010,1.9,0.0, ,17.6,7.3,98,51,2.69,14.72
YAMBA PILOT STATION,30/06/2010,2.4,0.0, ,20.2,5.7,95,44,3.24,14.16
Totals:,,44.2,156.8, ,,,,,, 
