'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY OLYMPIC PARK (ARCHERY CENTRE) New South Wales for August 2011,,,,,,,,,,
Issued at 22:34 GMT on Thursday 01 September 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),01/08/2011, , , , , , , , , 
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),02/08/2011, , , , , , , , , 
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),03/08/2011, , , , , , , , , 
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),04/08/2011, , , , , , , , , 
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),05/08/2011, , , , , , , , , 
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),06/08/2011, , , , , , , , , 
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),07/08/2011, , , , , , , , , 
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),08/08/2011, , , , , , , , , 
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),09/08/2011, , , , , , , , , 
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),10/08/2011, , , , , , , , , 
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),11/08/2011, , , , , , , , , 
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),12/08/2011, , , , , , , , , 
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),13/08/2011, , , , , , , , , 
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),14/08/2011, , , , , , , , , 
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),15/08/2011, , , , , , , , , 
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),16/08/2011, , , , , , , , , 
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),17/08/2011, , , , , , , , , 
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),18/08/2011, , , , , , , , , 
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),19/08/2011, , , , , , , , , 
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),20/08/2011, , , , , , , , , 
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),21/08/2011, , , , , , , , , 
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),22/08/2011, , , , , , , , , 
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),23/08/2011, , , , , , , , , 
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),24/08/2011, , , , , , , , , 
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),25/08/2011, , , , , , , , , 
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),26/08/2011, , , , , , , , , 
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),27/08/2011, , , , , , , , , 
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),28/08/2011, , , , , , , , , 
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),29/08/2011, , , , , , , , , 
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),30/08/2011, , , , , , , , , 
SYDNEY OLYMPIC PARK (ARCHERY CENTRE),31/08/2011, , , ,20.1, , , , ,15.67
Totals:,, , , ,,,,,, 
