'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GRAFTON RESEARCH STN New South Wales for May 2011,,,,,,,,,,
Issued at 22:35 GMT on Wednesday 01 June 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GRAFTON RESEARCH STN,06/05/2011,3.2,0.0, ,22.8,11.3,85,40,2.93,17.79
GRAFTON RESEARCH STN,07/05/2011,3.0,0.0, ,23.3,8.9,90,38,2.32,17.96
GRAFTON RESEARCH STN,08/05/2011,2.4,0.0, ,22.9,9.5,89,54,2.00,15.46
GRAFTON RESEARCH STN,09/05/2011,2.3,0.0, ,22.6,13.2,91,47,2.31,10.54
GRAFTON RESEARCH STN,10/05/2011,2.8,17.2, ,20.4,10.7,91,41,3.22,15.13
GRAFTON RESEARCH STN,11/05/2011,3.2,0.2, ,21.7,6.5,92,31,2.99,17.66
GRAFTON RESEARCH STN,12/05/2011,3.7,0.0, ,20.2,10.0,60,31,4.08,16.70
GRAFTON RESEARCH STN,13/05/2011,3.3,0.0, ,21.5,7.8,74,36,3.33,17.02
GRAFTON RESEARCH STN,14/05/2011,3.4,0.0, ,21.7,9.9,72,31,3.12,17.34
GRAFTON RESEARCH STN,15/05/2011,2.8,0.0, ,20.5,5.9,86,41,2.89,16.78
GRAFTON RESEARCH STN,16/05/2011,2.8,0.0, ,23.1,7.5,90,32,2.11,16.56
GRAFTON RESEARCH STN,17/05/2011,2.8,0.2, ,21.8,7.5,90,38,2.66,16.59
GRAFTON RESEARCH STN,18/05/2011,3.0,0.0, ,23.0,9.6,85,45,3.52,14.43
GRAFTON RESEARCH STN,19/05/2011,2.4,4.8, ,22.3,14.2,91,50,2.85,12.25
GRAFTON RESEARCH STN,20/05/2011,2.3,0.0, ,22.6,9.8,91,55,2.36,14.56
GRAFTON RESEARCH STN,21/05/2011,2.3,0.2, ,24.3,10.4,92,51,1.84,15.48
GRAFTON RESEARCH STN,22/05/2011,1.4,0.8, ,20.0,13.7,91,78,1.29,8.77
GRAFTON RESEARCH STN,23/05/2011,1.0,1.4, ,17.0,15.0,92,89,1.63,5.08
GRAFTON RESEARCH STN,24/05/2011,2.6,6.0, ,21.7,9.5,93,42,2.91,15.05
GRAFTON RESEARCH STN,25/05/2011,2.9,0.0, ,19.5,10.5,72,44,4.00,11.50
GRAFTON RESEARCH STN,26/05/2011,2.9,0.2, ,21.2,10.6,84,40,3.42,15.34
GRAFTON RESEARCH STN,27/05/2011,2.5,0.0, ,21.9,7.6,88,43,2.42,15.34
GRAFTON RESEARCH STN,28/05/2011,2.2,0.0, ,20.2,10.5,87,50,2.55,14.09
GRAFTON RESEARCH STN,29/05/2011,2.3,0.0, ,21.5,9.1,89,52,2.71,14.23
GRAFTON RESEARCH STN,30/05/2011,1.7,18.2, ,17.6,12.3,91,60,2.59,9.43
GRAFTON RESEARCH STN,31/05/2011,2.1,0.0, ,19.5,5.6,92,46,2.28,15.16
Totals:,,67.3,49.2, ,,,,,, 
